	Code	ROE	PM
0	011070	15.48	0.08784216954849801
0	064350	18.79	0.04098423784141477
0	034220	-15.11	-0.006619559507449487
0	047810	13.88	0.026904762688426204
0	051900	6.16	0.0843395650659705
0	161390	12.33	0.19200180965307045
0	029780	7.86	0.03475069844825574
0	251270	4.49	0.029715857654481828
0	028050	18.96	0.09829211578332436
0	010120	14.68	0.05382764963916797
0	097950	7.24	0.07214109187555073
0	006800	6.65	0.008198385122441714
0	021240	19.88	0.11438896486251285
0	011790	-11.73	-0.015278761366146953
0	005940	9.59	0.017325628387247716
0	036460	8.18	0.04451717470768721
0	180640	14.79	0.0081744066965962
0	009830	-12.19	-0.009209039184296535
0	307950	11.0	0.04127176625634411
0	302440	1.3	-0.0027100677390464933
0	454910	0.23	0.0
0	032640	6.65	0.07321423578247854
0	010620	3.52	0.010123389904693973
0	022100	21.08	0.02403418721882133
0	078930	8.9	0.17102698701125554
0	016360	11.35	0.018384463734988206
0	036570	5.59	0.015717028405310956
0	071050	11.1	0.0118642447665722
0	079550	18.54	0.03315810206881563
0	348370	-18.04	0.0007871668709802012
0	241560	11.89	0.13112707123625517
0	128940	17.11	0.05615699668004213
0	003230	38.27	0.07645628257093225
0	001040	7.36	0.07697341194663719
0	006260	8.55	0.06748784805850448
0	011780	7.15	0.06811270218536947
0	271560	13.5	0.13282581540013771
0	000720	6.35	0.04511111290838266
0	011170	-1.55	-0.014186051468255002
0	145020	15.58	0.04360903492950346
0	272210	7.21	0.037716981606025546
0	039490	15.7	0.021228961124973043
0	000250	-5.27	0.002700071197502389
0	141080	1.95	-0.0026152151724323446
0	005070	7.41	0.00901024470401946
0	004020	1.01	0.027380208970883384
0	214150	31.96	0.03446879182991151
0	066970	-28.15	-0.05593234817219179
0	377300	-0.01	-0.0059000617223175225
0	035250	8.92	0.07168750341575537
0	138930	7.76	0.007205238784706799
0	001570	-38.52	-0.004019536046428395
0	001450	21.01	0.039563011317844565
0	298040	15.08	0.048289854238312446
0	058470	21.12	0.036937971330451486
0	175330	12.57	0.013754284221412833
0	068760	5.8	0.01120258266388851
0	277810	6.3	0.0018714357655193064
0	007660	31.5	0.03877769408029623
0	263750	2.5	-0.006407973109493257
0	052690	8.17	0.013842489687676342
0	002380	11.81	0.047827123980346324
0	112610	15.08	0.051153018475604876
0	257720	64.67	0.05905017291365947
0	088350	8.74	0.008089204610723415
0	004990	0.29	0.032633577995919455
0	403870	34.05	0.038271049076992344
0	081660	9.68	0.09148238744288659
0	361610	-6.36	-0.04185466666170329
0	000150	9.28	0.07266790054751276
0	004370	7.35	0.06803408799787013
