	Unnamed: 0	Code	Name	ROE	PM	EY	ROE_Rank	PM_Rank	Total_Rank
242	0	300720	한일시멘트	13.19	22.348008385744237	0.1443512635825109	404.0	210.0	614.0
971	0	5430	한국공항	11.77	27.118324607329843	0.1914499585823604	485.0	130.0	615.0
1208	0	69510	에스텍	14.67	19.17874396135265	0.1121145208813295	322.0	296.0	618.0
17	0	138040	메리츠금융지주	23.65	13.279821627647712	0.028208574553178	98.0	524.0	622.0
2542	0	234070	에이원알폼	10.04	69.95967741935483	0.0495005815611182	612.0	11.0	623.0
1994	0	8420	문배철강	10.55	39.86784140969163	-0.0405031540044277	575.0	51.0	626.0
31	0	11200	HMM	12.47	23.306699446834664	0.2277072136486408	441.0	191.0	632.0
112	0	175330	JB금융지주	12.57	22.94240111034004	0.0137948672733808	436.0	197.0	633.0
940	0	36190	금화피에스시	12.03	24.037950664136623	0.1704545454545454	466.0	168.0	634.0
1504	0	241520	DSC인베스트먼트	14.82	18.166089965397923	0.1743483034764354	316.0	318.0	634.0
304	0	20560	아시아나항공	16.61	16.28723404255319	0.0494583721830349	251.0	383.0	634.0
207	0	4490	세방전지	14.96	17.738770685579198	0.1401085930122757	311.0	330.0	641.0
340	0	49770	동원F&B	13.02	21.63919129082426	0.1025350615078773	419.0	222.0	641.0
374	0	215200	메가스터디교육	17.0	15.65553235908142	0.1116501063758375	232.0	414.0	646.0
1206	0	99440	스맥	18.37	14.706927175843695	0.1135870535954575	189.0	457.0	646.0
1326	0	65710	서호전기	17.04	15.590673575129536	0.1219569398189408	230.0	418.0	648.0
1028	0	950190	고스트스튜디오	16.81	15.937193326790972	0.3114909121595628	246.0	404.0	650.0
626	0	35600	KG이니시스	12.13	23.23717948717949	0.0874304262048004	459.0	193.0	652.0
1421	0	9780	엠에스씨	13.03	21.17053481331988	0.1565306985099862	417.0	239.0	656.0
192	0	10060	OCI홀딩스	10.66	31.140532544378697	0.1038743269036361	566.0	90.0	656.0
1950	0	145270	케이탑리츠	11.85	23.6328125	0.1841629493899373	477.0	179.0	656.0
1213	0	124560	태웅로직스	12.46	21.749571183533448	0.1204474401581568	442.0	217.0	659.0
1846	0	170790	파이오링크	13.81	19.17910447761194	0.1399205002810847	365.0	295.0	660.0
396	0	17940	E1	10.35	35.03693570451436	0.0301066434114621	591.0	72.0	663.0
166	0	240	한국앤컴퍼니	10.75	29.19588875453446	0.2095600293905	557.0	108.0	665.0
985	0	23600	삼보판지	10.17	35.97388465723613	0.230110859491373	604.0	66.0	670.0
1070	0	353810	이지바이오	27.57	11.80285343709468	0.0879176558114253	63.0	614.0	677.0
1176	0	14580	태경비케이	12.81	20.56670602125148	0.2131686048574639	425.0	256.0	681.0
1676	0	241790	티이엠씨씨엔에스	13.08	19.96923076923077	0.0929943119644523	413.0	270.0	683.0
526	0	243070	휴온스	16.61	15.292196007259529	0.1054715236303298	251.0	434.0	685.0
661	0	1230	동국홀딩스	9.45	55.77319587628866	0.0969404872509548	665.0	22.0	687.0
283	0	145720	덴티움	19.8	13.021216407355022	0.1245442655888593	153.0	535.0	688.0
428	0	5610	SPC삼립	15.51	15.833663366336634	0.08130724160215	284.0	407.0	691.0
