	Unnamed: 0	Code	ROE	PM	ROE_Rank	PM_Rank	Total_Rank
1486	0	59120	1.14	-0.0103966795315949	1544.0	1825.0	3369.0
1474	0	67290	-102.71	0.0497781839677589	2484.0	887.0	3371.0
1970	0	405920	-1.85	0.0042531292398382	1736.0	1635.0	3371.0
1499	0	351330	-0.96	0.0009239750552606	1690.0	1681.0	3371.0
1183	0	12700	2.12	-0.0221672645561055	1445.0	1929.0	3374.0
2287	0	26040	1.76	-0.0184392796978121	1482.0	1895.0	3377.0
2527	0	435870	1.27	-0.012160124519675	1537.0	1841.0	3378.0
973	0	217820	-2.86	0.005560109626189	1778.0	1613.0	3391.0
1173	0	37070	0.74	-0.0082417582417582	1586.0	1805.0	3391.0
1190	0	376190	0.59	-0.0077376514117696	1600.0	1800.0	3400.0
2129	0	21040	-7.19	0.0127522507722613	1925.0	1475.0	3400.0
1309	0	160600	-2.52	0.0041089424455295	1762.0	1639.0	3401.0
1771	0	327260	-1.53	-0.0	1713.0	1688.0	3401.0
219	0	336260	-1.64	0.000913680095792	1721.0	1682.0	3403.0
2447	0	84440	-8.05	0.0140186259174183	1946.0	1459.0	3405.0
653	0	217270	-4.17	0.0076810975869482	1832.0	1574.0	3406.0
1931	0	23960	-5.94	0.0103685475336315	1890.0	1519.0	3409.0
2030	0	14130	-17.84	0.0227237110170819	2109.0	1301.0	3410.0
19	0	247540	-2.06	0.0018800364568753	1742.0	1671.0	3413.0
108	0	377300	-0.01	-0.0059000617223175	1642.0	1772.0	3414.0
785	0	278650	-0.19	-0.0051253818212326	1653.0	1761.0	3414.0
1356	0	95190	-2.87	0.004145663029592	1780.0	1637.0	3417.0
473	0	206650	-11.77	0.0176015871602593	2023.0	1396.0	3419.0
1245	0	12600	-3.48	0.0051540217553319	1803.0	1618.0	3421.0
336	0	6650	0.16	-0.0073845578612824	1630.0	1794.0	3424.0
2479	0	44180	-11.11	0.016814553466833	2011.0	1414.0	3425.0
1708	0	39020	-4.35	0.0068465252413467	1837.0	1589.0	3426.0
1872	0	104200	-7.1	0.0113121308180056	1921.0	1505.0	3426.0
2228	0	95910	-8.47	0.0127265565692257	1954.0	1476.0	3430.0
1491	0	317850	-0.52	-0.0040504934513647	1674.0	1757.0	3431.0
290	0	178920	-0.55	-0.0039987335293191	1677.0	1755.0	3432.0
1185	0	440	-0.43	-0.0056390597367348	1667.0	1766.0	3433.0
1485	0	357580	-3.84	0.005130086159797	1816.0	1619.0	3435.0
847	0	35080	-2.78	0.0023882150645312	1772.0	1664.0	3436.0
2128	0	76080	-7.17	0.0103788045713652	1922.0	1518.0	3440.0
2038	0	221800	1.8	-0.0254751232971472	1480.0	1961.0	3441.0
429	0	3520	-4.32	0.0060226855720321	1836.0	1605.0	3441.0
1966	0	12160	-3.5	0.0041407553591407	1804.0	1638.0	3442.0
1014	0	156100	-7.84	0.0115259273141598	1941.0	1502.0	3443.0
1508	0	141000	0.97	-0.0169759705137378	1562.0	1882.0	3444.0
2059	0	274400	-1.14	-0.0032337134024485	1697.0	1751.0	3448.0
2340	0	32080	-1.21	-0.003182873998994	1699.0	1750.0	3449.0
2118	0	72130	2.65	-0.0431191946292647	1388.0	2065.0	3453.0
508	0	59090	-25.04	0.0256473513020054	2203.0	1251.0	3454.0
1086	0	274090	-3.83	0.0040560857510608	1815.0	1641.0	3456.0
1658	0	66310	3.31	-0.0581821244565512	1309.0	2147.0	3456.0
294	0	271940	0.45	-0.0125432261331204	1612.0	1845.0	3457.0
741	0	24850	-1.32	-0.0042129940955589	1704.0	1758.0	3462.0
